"STOREID","GOLDCODE","ARTICLESTATUS","LV","SV","GoldCode_LV_SV","DESCRIPTION","COMMERCIALCONTRACT","SUPPLIERCODE","SUPPLIERNAME","DIVISION","DEPARTMENT","SUBDEPARTMENT","FAMILY","SUBFAMILY","PLANOGRAM","ATTRIB2","CURRENTSTOCK","FMCGDETENTION","OA","SA","BARCODE","OASTART","OAEND","MAINSUPPLIER","LEVERAGE","RETURNSTOCK","RETURNSTATUS","RETURNSTATUSDATE","FREQUENCY","DESFREQUENCY","DELIVERYPERIOD","COVERDAYS","ORDERMODE","FIXORDERQTY","MINQTY","PRESTOCK","PO","PO_QTY","PODATE","DELIVERYDATE","FREEFREIGHTTHRESHOLD","FREEFREIGHTUNIT","MINORDERFR","MAXORDERFR","UNIT","CATALOGUE","SKU_PU","COEF","ORDERMINPU","PRICELIST","STARTDATEPRICELIST","ENDDATEPRICELIST","COSTPRICE","LV","PURCHASEPRICE","NORMALPRICE","CLEARANCEPRICE","CATALOGUEPRICE","COMPLEMENTPRICE","SALESQTY","STOCKDAY","STOVAL"
"147-MOONLIGHT",="00016289","Active",0,0,="0001628900","HD1172/01 PHILIPS BAN UI","10410147",="3001909","CTY TNHH TM&DV DO DIEN LIN","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101002-IRON","0110100202-DRY IRON","","",,"No","Yes","Yes",="8710103011484",03-JUN-23,31-DEC-49,"Yes",,,"","",1,Day,9,,1,,,,="",,,,18000000,121,,50000000,121,"","1","1","",10900147,12-MAY-22,31-DEC-49,,1,365000,460400,,,,,,
"147-MOONLIGHT",="01039154","Active",1,1,="0103915411","KG408I/KG20IC1 KANGAROO BEP DIEN TU","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101009-STOVE","0110100901-SINGLE INDUCTION ELECTRIC STOVE","","",,"No","Yes","No",="8935326008688",25-AUG-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",,,,,1,1072000,,,,,,,
"147-MOONLIGHT",="00322665","Active",1,1,="0032266511","DG-366 DUXTON BEP GA","10050147",="3001106","CTY TNHH QUOC TE VINH PHAT","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101009-STOVE","0110100905-DOUBLE GAS STOVE","","",,"No","Yes","No",="8938506217002",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","1","1","",,,,,1,397273,,,,,,,
"147-MOONLIGHT",="01039152","Active",1,1,="0103915211","KG12RC1 KANGAROO NOI COM DIEN 1,2L","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100304-JAR TYPE 0.6-1.5L","","",,"No","Yes","No",="8935326000323",16-MAY-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",,,,,1,412364,,,,,,,
"147-MOONLIGHT",="01022511","Active",1,1,="0102251111","SHD4026 SUNHOUSE NOI CHIEN KHONG DAU 6L","10080147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101008-HOT POT-AIR FRYER-PRESSURE","0110100801-AIR FRYER","","",,"No","Yes","No",="8935259814097",12-OCT-22,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,15000000,121,,400000000,121,"","1","1","",,,,,1,1350000,,,,,,,
"147-MOONLIGHT",="00752412","Active",1,1,="0075241211","KG599/599N KANGAROO NOI COM DIEN TU 1.8L","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100303-COMPUTER TYPE 1.8L","","",,"No","Yes","Yes",="8935268800807",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",10900147,12-MAY-22,31-DEC-49,,1,,2649900,,,,,,
"147-MOONLIGHT",="00585369","Active",1,1,="0058536911","KG699/198/198M/198H KANGAROO BEP NUONG DIEN","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101009-STOVE","0110100908-GRILL/BARBECUE","","",,"No","Yes","Yes",="8935268801170",21-APR-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",10900147,12-MAY-22,31-DEC-49,,1,549000,686200,,,,,,
"147-MOONLIGHT",="00920578","Active",1,1,="0092057811","SHB004MT SUNHOUSE B.GA HONG NGOAI","10080147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101009-STOVE","0110100905-DOUBLE GAS STOVE","","",,"No","Yes","No",="8936020959979",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,15000000,121,,400000000,121,"","1","1","",,,,,1,525000,,,,,,,
"147-MOONLIGHT",="01039153","Active",1,1,="0103915311","KG20IH8 KANGAROO BEP DIEN TU","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101009-STOVE","0110100901-SINGLE INDUCTION ELECTRIC STOVE","","",,"No","Yes","No",="8935326006745",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",,,,,1,896363,,,,,,,
"147-MOONLIGHT",="00921795","Active",1,1,="0092179511","KG2B9/KGBL600X KANGAROO MAY XAY SINH TO 1,5L 2 COI","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101005-BLENDER & MIXER","0110100502-BLENDER GLASS","","",,"No","Yes","No",="8935326007308",23-AUG-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",,,,,1,832000,,,,,,,
"147-MOONLIGHT",="01256225","Active",1,1,="0125622511","STH1000/10 PHILIPS BAN UI H.N CAM TAY","10410147",="3001909","CTY TNHH TM&DV DO DIEN LIN","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101002-IRON","0110100201-STREAM IRON","","",,"No","Yes","Yes",="8720389012754",30-NOV-22,31-DEC-49,"Yes",,,"","",1,Day,9,,1,,,,="",,,,18000000,121,,50000000,121,"","1","1","",10900147,30-NOV-22,31-DEC-49,,1,797273,997000,,,,,,
"147-MOONLIGHT",="00809342","Active",1,1,="0080934211","KG822/823 KANGAROO NCD 1,2L","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100304-JAR TYPE 0.6-1.5L","","",,"No","Yes","Yes",="8935326000125",21-APR-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",10900147,12-MAY-22,31-DEC-49,,1,755000,882600,,,,,,
"147-MOONLIGHT",="00445674","Active",1,1,="0044567411","HP-8108 PHILIPS MAY SAY TOC","10410147",="3001909","CTY TNHH TM&DV DO DIEN LIN","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101011-BEAUTY CARE","0110101101-HAIRCARE","","",,"No","Yes","Yes",="8710103762799",04-NOV-22,31-DEC-49,"No",,,"","",1,Day,9,,1,,,,="",,,,18000000,121,,50000000,121,"","1","1","",10900147,04-NOV-22,31-DEC-49,,1,256481,331000,,,,,,
"147-MOONLIGHT",="00754070","Active",1,1,="0075407011","SHD5340 SUNHOUSE MAY XAY SINH TO DA NANG 1.2L NHUA","10080147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101005-BLENDER & MIXER","0110100503-MIXER","","",,"No","Yes","No",="8935259803374",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,15000000,121,,400000000,121,"","1","1","",,,,,1,830000,,,,,,,
"147-MOONLIGHT",="00918837","Active",1,1,="0091883711","KG55AF1 KANGAROO NOI CHIEN KHONG DAU 5,2L","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101008-HOT POT-AIR FRYER-PRESSURE","0110100801-AIR FRYER","","",,"No","Yes","Yes",="8935268804850",29-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",10900147,12-MAY-22,31-DEC-49,,1,,2846200,,,,,,
"147-MOONLIGHT",="00990415","Active",1,1,="0099041511","RC18NTFV/NMF TOSHIBA NOI COM DIEN TU 1.8L","10050147",="3001106","CTY TNHH QUOC TE VINH PHAT","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100303-COMPUTER TYPE 1.8L","","",,"No","Yes","No",="8936098212983",06-SEP-23,31-DEC-49,"No",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","1","1","",,,,,1,2539180,,,,,,,
"147-MOONLIGHT",="00990418","Active",1,1,="0099041811","KG1B6/KG1B8 KANGAROO MAY EP CHAM","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101005-BLENDER & MIXER","0110100503-MIXER","","",,"No","Yes","Yes",="8935326003751",23-AUG-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",10900147,12-MAY-22,31-DEC-49,,1,1867500,2944400,,,,,,
"147-MOONLIGHT",="01190097","Active",1,1,="0119009711","SHD8105 SUNHOUSE NOI COM DIEN 1,2L","10080147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100304-JAR TYPE 0.6-1.5L","","",,"No","Yes","No",="8935259804425",29-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,15000000,121,,400000000,121,"","1","1","",,,,,1,431000,,,,,,,
"147-MOONLIGHT",="00990411","Active",1,1,="0099041111","KG8G1A KANGAROO BEP GA DOI","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101009-STOVE","0110100905-DOUBLE GAS STOVE","","",,"No","Yes","No",="8935326002297",14-MAY-22,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","41","1","",,,,,1,538000,,,,,,,
"147-MOONLIGHT",="01025677","Active",1,1,="0102567711","SHD6869 SUNHOUSE BEP DIEN TU","10080147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101009-STOVE","0110100901-SINGLE INDUCTION ELECTRIC STOVE","","",,"No","Yes","No",="8935259816046",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,15000000,121,,400000000,121,"","1","1","",,,,,1,1000000,,,,,,,
"147-MOONLIGHT",="00770932","Active",1,1,="0077093211","SHD1300 SUNHOUSE B. DUN 1,7L NHUA","10080147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101001-JARPOT & KETTLE","0110100103-KETTLE PLASTIC","","",,"No","Yes","No",="8936020952932",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,15000000,121,,400000000,121,"","1","1","",,,,,1,299000,,,,,,,
"147-MOONLIGHT",="01190093","Active",1,1,="0119009311","18DR8 KANGAROO NOI COM DIEN TU 1,8L","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100303-COMPUTER TYPE 1.8L","","",,"No","Yes","No",="8935326000309",12-DEC-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",,,,,1,1182273,,,,,,,
"147-MOONLIGHT",="01190113","Active",1,1,="0119011311","SHD4523 SUNHOUSE LAU DIEN 3,5L","10080147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101008-HOT POT-AIR FRYER-PRESSURE","0110100802-ELECTRIC HOT POT","","",,"No","Yes","No",="8935259812314",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,15000000,121,,400000000,121,"","1","1","",,,,,1,431000,,,,,,,
"147-MOONLIGHT",="01018481","Active",1,1,="0101848111","RC-10DH2PV(W) TOSHIBA NOI COM DIEN TU 1L","10050147",="3001106","CTY TNHH QUOC TE VINH PHAT","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100306-COMPUTER TYPE 0.6-1.5L","","",,"No","Yes","No",="8936098213393",06-SEP-23,31-DEC-49,"No",,,"","",1,Day,5,,1,,,,="",,,,5000000,121,,100000000,121,"","1","1","",,,,,1,1470000,,,,,,,
"147-MOONLIGHT",="00980127","Active",1,1,="0098012711","KG378H KANGAROO NOI COM DIEN 1.8L","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100302-JAR TYPE 1.8L","","",,"No","Yes","No",="8935326000316",21-APR-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",,,,,1,438000,,,,,,,
"147-MOONLIGHT",="00860249","Active",1,1,="0086024911","KG353 KANGAROO B.DUN 1.7L INOX","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101001-JARPOT & KETTLE","0110100104-KETTLE INOX","","",,"No","Yes","No",="8935268804140",23-AUG-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",,,,,1,493000,,,,,,,
"147-MOONLIGHT",="00918457","Active",1,1,="0091845711","SHD2308 SUNHOUSE SAY TOC","10080147",="1429085","CTY CO PHAN TAP DOAN SUNHOUSE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101011-BEAUTY CARE","0110101101-HAIRCARE","","",,"No","Yes","No",="8935259806726",25-AUG-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,15000000,121,,400000000,121,"","1","1","",,,,,1,275000,,,,,,,
"147-MOONLIGHT",="00844559","Active",1,1,="0084455911","KG571/572 KANGAROO NOI COM DIEN 2.2L","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101003-RICE COOKER","0110100305-JAR TYPE >2.0L","","",,"No","Yes","Yes",="8935268800647",21-APR-23,31-DEC-49,"No",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",10900147,12-MAY-22,31-DEC-49,,1,,980800,,,,,,
"147-MOONLIGHT",="01018476","Active",1,1,="0101847611","KG17K1/2 KANGAROO BINH DUN INOX 1.7L","10590147",="3005029","CTCP LIEN DOANH KANGAROO QUOC TE","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101001-JARPOT & KETTLE","0110100104-KETTLE INOX","","",,"No","Yes","Yes",="8935326006707",29-JUL-23,31-DEC-49,"Yes",,,"","",1,Day,10,,1,,,,="",,,,10000000,121,,,,"","1","1","",10900147,12-MAY-22,31-DEC-49,,1,630000,882600,,,,,,
"147-MOONLIGHT",="00918454","Active",1,1,="0091845411","NH-P3031PF NAMILUX BEP GAS DU LICH","10460147",="3002391","CTY TNHH TM & SX NGAN HA","01-HARD LINE","0110-HOME APPLIANCE","011010-SMALL APPLIANCE","01101009-STOVE","0110100903-GAS PICNIC","","",,"No","Yes","Yes",="8936049271021",27-JUL-23,31-DEC-49,"No",,,"","",1,Day,8,,1,,,,="",,,,10000000,121,,50000000,121,"","1","1","",10900147,26-JUL-23,31-DEC-49,,1,335000,431000,,,,,,
